RowNumber,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
1,75682867,DBEER,533,France,Male,36,0,47900.84,2,0,0,69193.01,0
2,66755036,ZHEQM,425,Spain,Male,79,4,66934.3,2,1,0,107629.15,0
3,66882282,XNTKP,636,Spain,Male,70,5,70577.76,1,1,1,26711.85,1
4,31081788,SWHSP,821,France,Female,41,7,167628.4,2,0,1,76997.96,1
5,23315092,WWEZJ,724,Germany,Male,73,3,54456.15,2,0,0,137082.72,0
6,45788921,DVBMY,491,Germany,Male,79,4,169164.58,3,1,1,184027.08,0
7,36735830,CHCGQ,586,Spain,Female,51,3,22783.04,2,0,1,85513.16,1
8,41632483,QPWST,374,Germany,Female,39,6,36800.62,1,1,0,117267.21,0
9,86737383,CWRYR,639,Germany,Female,85,9,127205.36,2,0,1,130851.82,1
10,98358551,EVKQV,416,France,Male,74,5,230473.95,3,1,1,23443.16,0
11,98409749,MYTVJ,599,Spain,Male,27,3,214891.9,3,1,1,75022.76,0
12,14981505,MYERG,757,Spain,Female,83,5,242188.36,3,0,0,140008.26,1
13,23953367,TPJRP,467,France,Male,25,3,162619.77,3,1,0,149775.61,0
14,95652971,LMAWC,839,Germany,Female,55,7,168953.72,2,1,1,77630.9,0
15,14521373,EYSQD,422,Spain,Male,79,2,156255.75,3,1,1,11279.89,1
16,13344769,NECKA,631,Germany,Female,45,7,155704.73,3,0,1,11304.46,1
17,86893497,RBARF,753,Spain,Male,27,1,36780.09,3,0,1,112242.8,0
18,40349564,CYXZV,797,Spain,Female,62,5,135934.74,2,1,0,114782.32,0
19,52860080,WHZOV,709,Spain,Male,82,7,96516.98,1,1,1,115586.69,0
20,87751354,XNXOK,359,Spain,Female,84,0,110634.3,3,0,1,147133.08,0
21,72250665,CYHCG,560,Germany,Male,26,5,130900.14,3,0,1,185041.19,0
22,76209791,SFWMN,672,Germany,Male,22,8,32099.04,3,0,1,198132.34,0
23,56792155,AAHRO,501,Germany,Male,27,9,89871.93,2,1,0,143202.68,0
24,31498555,UBSRW,354,Germany,Female,29,9,15862.39,2,0,1,107659.76,0
25,70221198,HHPUA,544,France,Male,75,1,244917.03,3,0,0,36789.01,0
26,89757501,BMKGV,791,Spain,Male,38,0,29632.01,1,0,0,82993.28,0
27,26861870,DSXTA,632,Spain,Male,38,1,64631.18,3,0,1,118766.77,0
28,62286002,RUNRQ,813,Spain,Female,82,4,222823.23,1,1,0,199963.61,0
29,42049003,SXMGC,462,France,Male,20,5,120677.51,1,1,0,34126.51,0
30,71136438,SCOHI,620,Germany,Female,86,0,33909.3,2,0,0,160684.53,0
31,72194931,GRUVJ,512,Spain,Male,81,6,96057.63,2,1,1,199798.64,0
32,75285250,DTVAD,809,Germany,Female,66,3,28967.0,2,0,0,163005.34,0
33,79537252,WZYJO,454,Germany,Female,89,8,50054.0,1,1,0,155757.39,0
34,69248434,MUDUT,530,France,Male,34,5,13007.46,1,0,1,59149.42,0
35,71306900,FYUHP,393,France,Female,90,8,109556.87,1,0,0,10638.88,0
36,65831368,TAVTI,631,Germany,Female,49,0,201659.03,2,1,1,52937.55,0
37,20959014,ZKWZG,524,Spain,Male,87,3,146492.29,2,0,1,160062.02,0
38,66972561,ODICL,511,Spain,Female,38,1,151586.33,2,0,1,30383.43,0
39,58900483,XYSWR,820,France,Female,24,5,50146.01,3,1,1,66262.49,0
40,30193880,IQZZG,700,France,Female,24,3,85973.46,1,0,1,116876.0,1
41,13385357,IDCYC,783,France,Female,44,8,211310.53,1,1,0,120163.96,1
42,54738553,FDKXN,689,France,Male,25,2,21964.05,3,0,1,113167.85,0
43,78574553,PFXYS,489,France,Female,90,0,214482.66,1,0,0,196367.86,0
44,26845364,PCEGG,820,France,Female,45,0,120922.51,1,1,0,12334.26,0
45,62157313,TUUAP,481,France,Male,83,8,209286.86,3,1,1,102643.72,0
46,21392366,TPWNU,436,Spain,Male,88,8,79501.6,1,0,0,105839.92,1
47,79778859,TBUGY,525,France,Female,64,4,84710.74,2,0,0,65731.21,0
48,98883975,CKMSK,532,France,Male,27,1,187901.22,3,1,1,109763.54,0
49,23479854,OHJTL,717,Spain,Male,50,8,196249.04,1,1,1,137923.17,1
50,83506850,FTWDS,478,Spain,Male,24,7,57411.17,2,0,1,137823.62,0
51,23187277,AZTIN,595,Germany,Male,20,9,243217.83,1,0,0,26692.83,0
52,78979792,AFSDD,438,France,Male,31,9,21122.53,3,0,0,162467.4,0
53,47709731,CGFRS,415,France,Male,61,5,17125.74,2,1,0,186834.87,0
54,36939239,XLFVQ,507,France,Male,63,6,148876.05,1,0,0,33486.25,0
55,33027075,URDOU,736,France,Male,78,5,180685.19,3,1,1,89161.65,0
56,91200125,ZMSCY,727,Germany,Male,53,4,240221.53,1,0,0,107232.54,1
57,96191493,RFDSQ,498,Spain,Female,30,3,101236.45,1,1,0,35616.12,0
58,97796277,TLLSK,822,Spain,Female,33,6,6322.85,2,0,1,105642.97,0
59,76401385,SDYQD,689,France,Female,22,3,150724.08,1,1,0,49303.18,1
60,32335235,RUHBK,782,France,Female,55,9,72424.01,3,1,1,187718.58,0
61,10271836,ZTGPN,465,France,Female,67,9,108236.78,3,0,0,95209.36,0
62,13584702,CFPVA,563,Germany,Male,55,9,122117.37,2,1,1,199031.24,0
